"filename", "language", "Makefile", "JSON", "CMake", "CMake Cache", "Log", "C", "TypeScript", "comment", "blank", "total"
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\cache-v2-1dd8454d5ff05e8918af.json", "JSON", 0, -1503, 0, 0, 0, 0, 0, 0, -1, -1504
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\cmakeFiles-v1-676bf60df083fcb5b558.json", "JSON", 0, -529, 0, 0, 0, 0, 0, 0, -1, -530
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\codemodel-v2-194de607b0091123203d.json", "JSON", 0, -231, 0, 0, 0, 0, 0, 0, -1, -232
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.applib-Debug-5e5d462fbfa8010f6a72.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.boot-Debug-e32ed8e172d18c41a714.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.kernel-Debug-4384d93899d7b295e598.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.loader-Debug-c085dfc97c955badf5e0.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\directory-source.shell-Debug-9bcd9f15bf3fe254031f.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\index-2023-03-23T09-30-08-0445.json", "JSON", 0, -132, 0, 0, 0, 0, 0, 0, -1, -133
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\target-app-Debug-691fded50ddfebdf68c8.json", "JSON", 0, -148, 0, 0, 0, 0, 0, 0, -1, -149
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\target-boot-Debug-ceeddecd1372b2246203.json", "JSON", 0, -169, 0, 0, 0, 0, 0, 0, -1, -170
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-537ccb521ad474e36563.json", "JSON", 0, -379, 0, 0, 0, 0, 0, 0, -1, -380
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\target-loader-Debug-404bb4b92ad01dc609f2.json", "JSON", 0, -177, 0, 0, 0, 0, 0, 0, -1, -178
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\target-shell-Debug-fc184df4f978628abcfb.json", "JSON", 0, -144, 0, 0, 0, 0, 0, 0, -1, -145
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\.cmake\api\v1\reply\toolchains-v1-ab835e02a05a3257afc4.json", "JSON", 0, -61, 0, 0, 0, 0, 0, 0, -1, -62
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, -361, 0, 0, 0, 0, -89, -450
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\3.25.0-rc3\CMakeASMCompiler.cmake", "CMake", 0, 0, -14, 0, 0, 0, 0, 0, -7, -21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\3.25.0-rc3\CMakeCCompiler.cmake", "CMake", 0, 0, -55, 0, 0, 0, 0, 0, -18, -73
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\3.25.0-rc3\CMakeRCCompiler.cmake", "CMake", 0, 0, -6, 0, 0, 0, 0, 0, -1, -7
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\3.25.0-rc3\CMakeSystem.cmake", "CMake", 0, 0, -10, 0, 0, 0, 0, 0, -6, -16
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\3.25.0-rc3\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, -661, 0, -61, -147, -869
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\CMakeError.log", "Log", 0, 0, 0, 0, -58, 0, 0, 0, -60, -118
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, -26, 0, 0, 0, -21, -47
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\CMakeFiles\Makefile.cmake", "CMake", 0, 0, -128, 0, 0, 0, 0, 0, -6, -134
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\Makefile", "Makefile", -97, 0, 0, 0, 0, 0, 0, -61, -53, -211
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\cmake_install.cmake", "CMake", 0, 0, -50, 0, 0, 0, 0, 0, -10, -60
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\compile_commands.json", "JSON", 0, -127, 0, 0, 0, 0, 0, 0, 0, -127
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, -12, 0, 0, 0, 0, 0, -5, -17
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\DependInfo.cmake", "CMake", 0, 0, -25, 0, 0, 0, 0, 0, -7, -32
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\cmake_clean.cmake", "CMake", 0, 0, -11, 0, 0, 0, 0, 0, -2, -13
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\build\source\applib\CMakeFiles\app.dir\cmake_clean_target.cmake", "CMake", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
